Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16055,145,6
2016,MALE,BLACK NON HISPANIC,Charles16056,144,7
2017,FEMALE,HISPANIC,Karen16057,143,8
2018,MALE,WHITE NON HISPANIC,Christopher16058,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy16059,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16060,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary16061,139,12
2022,MALE,HISPANIC,Robert16062,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia16063,137,14
2016,MALE,OTHER ETHNICITY,Michael16064,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16065,135,16
2018,MALE,BLACK NON HISPANIC,William16066,134,17
2019,FEMALE,HISPANIC,Linda16067,133,18
2020,MALE,WHITE NON HISPANIC,David16068,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara16069,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16070,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan16071,129,22
2016,MALE,HISPANIC,Joseph16072,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica16073,127,24
2018,MALE,OTHER ETHNICITY,Thomas16074,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16075,125,26
2020,MALE,BLACK NON HISPANIC,Charles16076,124,27
2021,FEMALE,HISPANIC,Karen16077,123,28
2022,MALE,WHITE NON HISPANIC,Christopher16078,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy16079,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16080,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary16081,119,32
2018,MALE,HISPANIC,Robert16082,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia16083,117,34
2020,MALE,OTHER ETHNICITY,Michael16084,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16085,115,36
2022,MALE,BLACK NON HISPANIC,William16086,114,37
2023,FEMALE,HISPANIC,Linda16087,113,38
2016,MALE,WHITE NON HISPANIC,David16088,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara16089,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16090,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan16091,109,42
2020,MALE,HISPANIC,Joseph16092,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica16093,107,44
2022,MALE,OTHER ETHNICITY,Thomas16094,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16095,105,46
2016,MALE,BLACK NON HISPANIC,Charles16096,104,47
2017,FEMALE,HISPANIC,Karen16097,103,48
2018,MALE,WHITE NON HISPANIC,Christopher16098,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy16099,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16100,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary16101,199,2
2022,MALE,HISPANIC,Robert16102,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia16103,197,4
2016,MALE,OTHER ETHNICITY,Michael16104,196,5
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16105,195,6
2018,MALE,BLACK NON HISPANIC,William16106,194,7
2019,FEMALE,HISPANIC,Linda16107,193,8
2020,MALE,WHITE NON HISPANIC,David16108,192,9
2021,FEMALE,OTHER ETHNICITY,Barbara16109,191,10
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16110,190,11
2023,FEMALE,BLACK NON HISPANIC,Susan16111,189,12
2016,MALE,HISPANIC,Joseph16112,188,13
2017,FEMALE,WHITE NON HISPANIC,Jessica16113,187,14
2018,MALE,OTHER ETHNICITY,Thomas16114,186,15
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16115,185,16
2020,MALE,BLACK NON HISPANIC,Charles16116,184,17
2021,FEMALE,HISPANIC,Karen16117,183,18
2022,MALE,WHITE NON HISPANIC,Christopher16118,182,19
2023,FEMALE,OTHER ETHNICITY,Nancy16119,181,20
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16120,180,21
2017,FEMALE,BLACK NON HISPANIC,Mary16121,179,22
2018,MALE,HISPANIC,Robert16122,178,23
2019,FEMALE,WHITE NON HISPANIC,Patricia16123,177,24
2020,MALE,OTHER ETHNICITY,Michael16124,176,25
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16125,175,26
2022,MALE,BLACK NON HISPANIC,William16126,174,27
2023,FEMALE,HISPANIC,Linda16127,173,28
2016,MALE,WHITE NON HISPANIC,David16128,172,29
2017,FEMALE,OTHER ETHNICITY,Barbara16129,171,30
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16130,170,31
2019,FEMALE,BLACK NON HISPANIC,Susan16131,169,32
2020,MALE,HISPANIC,Joseph16132,168,33
2021,FEMALE,WHITE NON HISPANIC,Jessica16133,167,34
2022,MALE,OTHER ETHNICITY,Thomas16134,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16135,165,36
2016,MALE,BLACK NON HISPANIC,Charles16136,164,37
2017,FEMALE,HISPANIC,Karen16137,163,38
2018,MALE,WHITE NON HISPANIC,Christopher16138,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy16139,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16140,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary16141,159,42
2022,MALE,HISPANIC,Robert16142,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia16143,157,44
2016,MALE,OTHER ETHNICITY,Michael16144,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16145,155,46
2018,MALE,BLACK NON HISPANIC,William16146,154,47
2019,FEMALE,HISPANIC,Linda16147,153,48
2020,MALE,WHITE NON HISPANIC,David16148,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara16149,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16150,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan16151,149,2
2016,MALE,HISPANIC,Joseph16152,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica16153,147,4
2018,MALE,OTHER ETHNICITY,Thomas16154,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16155,145,6
2020,MALE,BLACK NON HISPANIC,Charles16156,144,7
2021,FEMALE,HISPANIC,Karen16157,143,8
2022,MALE,WHITE NON HISPANIC,Christopher16158,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy16159,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16160,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary16161,139,12
2018,MALE,HISPANIC,Robert16162,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia16163,137,14
2020,MALE,OTHER ETHNICITY,Michael16164,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16165,135,16
2022,MALE,BLACK NON HISPANIC,William16166,134,17
2023,FEMALE,HISPANIC,Linda16167,133,18
2016,MALE,WHITE NON HISPANIC,David16168,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara16169,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16170,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan16171,129,22
2020,MALE,HISPANIC,Joseph16172,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica16173,127,24
2022,MALE,OTHER ETHNICITY,Thomas16174,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16175,125,26
2016,MALE,BLACK NON HISPANIC,Charles16176,124,27
2017,FEMALE,HISPANIC,Karen16177,123,28
2018,MALE,WHITE NON HISPANIC,Christopher16178,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy16179,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16180,120,31
2021,FEMALE,BLACK NON HISPANIC,Mary16181,119,32
2022,MALE,HISPANIC,Robert16182,118,33
2023,FEMALE,WHITE NON HISPANIC,Patricia16183,117,34
2016,MALE,OTHER ETHNICITY,Michael16184,116,35
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16185,115,36
2018,MALE,BLACK NON HISPANIC,William16186,114,37
2019,FEMALE,HISPANIC,Linda16187,113,38
2020,MALE,WHITE NON HISPANIC,David16188,112,39
2021,FEMALE,OTHER ETHNICITY,Barbara16189,111,40
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16190,110,41
2023,FEMALE,BLACK NON HISPANIC,Susan16191,109,42
2016,MALE,HISPANIC,Joseph16192,108,43
2017,FEMALE,WHITE NON HISPANIC,Jessica16193,107,44
2018,MALE,OTHER ETHNICITY,Thomas16194,106,45
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16195,105,46
2020,MALE,BLACK NON HISPANIC,Charles16196,104,47
2021,FEMALE,HISPANIC,Karen16197,103,48
2022,MALE,WHITE NON HISPANIC,Christopher16198,102,49
2023,FEMALE,OTHER ETHNICITY,Nancy16199,101,50
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16200,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary16201,199,2
2018,MALE,HISPANIC,Robert16202,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia16203,197,4
2020,MALE,OTHER ETHNICITY,Michael16204,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16205,195,6
2022,MALE,BLACK NON HISPANIC,William16206,194,7
2023,FEMALE,HISPANIC,Linda16207,193,8
2016,MALE,WHITE NON HISPANIC,David16208,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara16209,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16210,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan16211,189,12
2020,MALE,HISPANIC,Joseph16212,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica16213,187,14
2022,MALE,OTHER ETHNICITY,Thomas16214,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16215,185,16
2016,MALE,BLACK NON HISPANIC,Charles16216,184,17
2017,FEMALE,HISPANIC,Karen16217,183,18
2018,MALE,WHITE NON HISPANIC,Christopher16218,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy16219,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16220,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary16221,179,22
2022,MALE,HISPANIC,Robert16222,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia16223,177,24
2016,MALE,OTHER ETHNICITY,Michael16224,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16225,175,26
2018,MALE,BLACK NON HISPANIC,William16226,174,27
2019,FEMALE,HISPANIC,Linda16227,173,28
2020,MALE,WHITE NON HISPANIC,David16228,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara16229,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16230,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan16231,169,32
2016,MALE,HISPANIC,Joseph16232,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica16233,167,34
2018,MALE,OTHER ETHNICITY,Thomas16234,166,35
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16235,165,36
2020,MALE,BLACK NON HISPANIC,Charles16236,164,37
2021,FEMALE,HISPANIC,Karen16237,163,38
2022,MALE,WHITE NON HISPANIC,Christopher16238,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy16239,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16240,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary16241,159,42
2018,MALE,HISPANIC,Robert16242,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia16243,157,44
2020,MALE,OTHER ETHNICITY,Michael16244,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16245,155,46
2022,MALE,BLACK NON HISPANIC,William16246,154,47
2023,FEMALE,HISPANIC,Linda16247,153,48
2016,MALE,WHITE NON HISPANIC,David16248,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara16249,151,50
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16250,150,1
2019,FEMALE,BLACK NON HISPANIC,Susan16251,149,2
2020,MALE,HISPANIC,Joseph16252,148,3
2021,FEMALE,WHITE NON HISPANIC,Jessica16253,147,4
2022,MALE,OTHER ETHNICITY,Thomas16254,146,5
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16255,145,6
2016,MALE,BLACK NON HISPANIC,Charles16256,144,7
2017,FEMALE,HISPANIC,Karen16257,143,8
2018,MALE,WHITE NON HISPANIC,Christopher16258,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy16259,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16260,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary16261,139,12
2022,MALE,HISPANIC,Robert16262,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia16263,137,14
2016,MALE,OTHER ETHNICITY,Michael16264,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16265,135,16
2018,MALE,BLACK NON HISPANIC,William16266,134,17
2019,FEMALE,HISPANIC,Linda16267,133,18
2020,MALE,WHITE NON HISPANIC,David16268,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara16269,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16270,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan16271,129,22
2016,MALE,HISPANIC,Joseph16272,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica16273,127,24
2018,MALE,OTHER ETHNICITY,Thomas16274,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16275,125,26
2020,MALE,BLACK NON HISPANIC,Charles16276,124,27
2021,FEMALE,HISPANIC,Karen16277,123,28
2022,MALE,WHITE NON HISPANIC,Christopher16278,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy16279,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16280,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary16281,119,32
2018,MALE,HISPANIC,Robert16282,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia16283,117,34
2020,MALE,OTHER ETHNICITY,Michael16284,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16285,115,36
2022,MALE,BLACK NON HISPANIC,William16286,114,37
2023,FEMALE,HISPANIC,Linda16287,113,38
2016,MALE,WHITE NON HISPANIC,David16288,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara16289,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16290,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan16291,109,42
2020,MALE,HISPANIC,Joseph16292,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica16293,107,44
2022,MALE,OTHER ETHNICITY,Thomas16294,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16295,105,46
2016,MALE,BLACK NON HISPANIC,Charles16296,104,47
2017,FEMALE,HISPANIC,Karen16297,103,48
2018,MALE,WHITE NON HISPANIC,Christopher16298,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy16299,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16300,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary16301,199,2
2022,MALE,HISPANIC,Robert16302,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia16303,197,4
2016,MALE,OTHER ETHNICITY,Michael16304,196,5
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16305,195,6
2018,MALE,BLACK NON HISPANIC,William16306,194,7
2019,FEMALE,HISPANIC,Linda16307,193,8
2020,MALE,WHITE NON HISPANIC,David16308,192,9
2021,FEMALE,OTHER ETHNICITY,Barbara16309,191,10
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16310,190,11
2023,FEMALE,BLACK NON HISPANIC,Susan16311,189,12
2016,MALE,HISPANIC,Joseph16312,188,13
2017,FEMALE,WHITE NON HISPANIC,Jessica16313,187,14
2018,MALE,OTHER ETHNICITY,Thomas16314,186,15
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16315,185,16
2020,MALE,BLACK NON HISPANIC,Charles16316,184,17
2021,FEMALE,HISPANIC,Karen16317,183,18
2022,MALE,WHITE NON HISPANIC,Christopher16318,182,19
2023,FEMALE,OTHER ETHNICITY,Nancy16319,181,20
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16320,180,21
2017,FEMALE,BLACK NON HISPANIC,Mary16321,179,22
2018,MALE,HISPANIC,Robert16322,178,23
2019,FEMALE,WHITE NON HISPANIC,Patricia16323,177,24
2020,MALE,OTHER ETHNICITY,Michael16324,176,25
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16325,175,26
2022,MALE,BLACK NON HISPANIC,William16326,174,27
2023,FEMALE,HISPANIC,Linda16327,173,28
2016,MALE,WHITE NON HISPANIC,David16328,172,29
2017,FEMALE,OTHER ETHNICITY,Barbara16329,171,30
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16330,170,31
2019,FEMALE,BLACK NON HISPANIC,Susan16331,169,32
2020,MALE,HISPANIC,Joseph16332,168,33
2021,FEMALE,WHITE NON HISPANIC,Jessica16333,167,34
2022,MALE,OTHER ETHNICITY,Thomas16334,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16335,165,36
2016,MALE,BLACK NON HISPANIC,Charles16336,164,37
2017,FEMALE,HISPANIC,Karen16337,163,38
2018,MALE,WHITE NON HISPANIC,Christopher16338,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy16339,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16340,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary16341,159,42
2022,MALE,HISPANIC,Robert16342,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia16343,157,44
2016,MALE,OTHER ETHNICITY,Michael16344,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16345,155,46
2018,MALE,BLACK NON HISPANIC,William16346,154,47
2019,FEMALE,HISPANIC,Linda16347,153,48
2020,MALE,WHITE NON HISPANIC,David16348,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara16349,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16350,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan16351,149,2
2016,MALE,HISPANIC,Joseph16352,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica16353,147,4
2018,MALE,OTHER ETHNICITY,Thomas16354,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16355,145,6
2020,MALE,BLACK NON HISPANIC,Charles16356,144,7
2021,FEMALE,HISPANIC,Karen16357,143,8
2022,MALE,WHITE NON HISPANIC,Christopher16358,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy16359,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16360,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary16361,139,12
2018,MALE,HISPANIC,Robert16362,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia16363,137,14
2020,MALE,OTHER ETHNICITY,Michael16364,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16365,135,16
2022,MALE,BLACK NON HISPANIC,William16366,134,17
2023,FEMALE,HISPANIC,Linda16367,133,18
2016,MALE,WHITE NON HISPANIC,David16368,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara16369,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16370,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan16371,129,22
2020,MALE,HISPANIC,Joseph16372,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica16373,127,24
2022,MALE,OTHER ETHNICITY,Thomas16374,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16375,125,26
2016,MALE,BLACK NON HISPANIC,Charles16376,124,27
2017,FEMALE,HISPANIC,Karen16377,123,28
2018,MALE,WHITE NON HISPANIC,Christopher16378,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy16379,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16380,120,31
2021,FEMALE,BLACK NON HISPANIC,Mary16381,119,32
2022,MALE,HISPANIC,Robert16382,118,33
2023,FEMALE,WHITE NON HISPANIC,Patricia16383,117,34
2016,MALE,OTHER ETHNICITY,Michael16384,116,35
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16385,115,36
2018,MALE,BLACK NON HISPANIC,William16386,114,37
2019,FEMALE,HISPANIC,Linda16387,113,38
2020,MALE,WHITE NON HISPANIC,David16388,112,39
2021,FEMALE,OTHER ETHNICITY,Barbara16389,111,40
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16390,110,41
2023,FEMALE,BLACK NON HISPANIC,Susan16391,109,42
2016,MALE,HISPANIC,Joseph16392,108,43
2017,FEMALE,WHITE NON HISPANIC,Jessica16393,107,44
2018,MALE,OTHER ETHNICITY,Thomas16394,106,45
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16395,105,46
2020,MALE,BLACK NON HISPANIC,Charles16396,104,47
2021,FEMALE,HISPANIC,Karen16397,103,48
2022,MALE,WHITE NON HISPANIC,Christopher16398,102,49
2023,FEMALE,OTHER ETHNICITY,Nancy16399,101,50
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16400,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary16401,199,2
2018,MALE,HISPANIC,Robert16402,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia16403,197,4
2020,MALE,OTHER ETHNICITY,Michael16404,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16405,195,6
2022,MALE,BLACK NON HISPANIC,William16406,194,7
2023,FEMALE,HISPANIC,Linda16407,193,8
2016,MALE,WHITE NON HISPANIC,David16408,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara16409,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16410,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan16411,189,12
2020,MALE,HISPANIC,Joseph16412,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica16413,187,14
2022,MALE,OTHER ETHNICITY,Thomas16414,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16415,185,16
2016,MALE,BLACK NON HISPANIC,Charles16416,184,17
2017,FEMALE,HISPANIC,Karen16417,183,18
2018,MALE,WHITE NON HISPANIC,Christopher16418,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy16419,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16420,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary16421,179,22
2022,MALE,HISPANIC,Robert16422,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia16423,177,24
2016,MALE,OTHER ETHNICITY,Michael16424,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16425,175,26
2018,MALE,BLACK NON HISPANIC,William16426,174,27
2019,FEMALE,HISPANIC,Linda16427,173,28
2020,MALE,WHITE NON HISPANIC,David16428,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara16429,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16430,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan16431,169,32
2016,MALE,HISPANIC,Joseph16432,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica16433,167,34
2018,MALE,OTHER ETHNICITY,Thomas16434,166,35
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16435,165,36
2020,MALE,BLACK NON HISPANIC,Charles16436,164,37
2021,FEMALE,HISPANIC,Karen16437,163,38
2022,MALE,WHITE NON HISPANIC,Christopher16438,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy16439,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16440,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary16441,159,42
2018,MALE,HISPANIC,Robert16442,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia16443,157,44
2020,MALE,OTHER ETHNICITY,Michael16444,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16445,155,46
2022,MALE,BLACK NON HISPANIC,William16446,154,47
2023,FEMALE,HISPANIC,Linda16447,153,48
2016,MALE,WHITE NON HISPANIC,David16448,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara16449,151,50
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16450,150,1
2019,FEMALE,BLACK NON HISPANIC,Susan16451,149,2
2020,MALE,HISPANIC,Joseph16452,148,3
2021,FEMALE,WHITE NON HISPANIC,Jessica16453,147,4
2022,MALE,OTHER ETHNICITY,Thomas16454,146,5
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16455,145,6
2016,MALE,BLACK NON HISPANIC,Charles16456,144,7
2017,FEMALE,HISPANIC,Karen16457,143,8
2018,MALE,WHITE NON HISPANIC,Christopher16458,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy16459,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16460,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary16461,139,12
2022,MALE,HISPANIC,Robert16462,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia16463,137,14
2016,MALE,OTHER ETHNICITY,Michael16464,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16465,135,16
2018,MALE,BLACK NON HISPANIC,William16466,134,17
2019,FEMALE,HISPANIC,Linda16467,133,18
2020,MALE,WHITE NON HISPANIC,David16468,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara16469,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard16470,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan16471,129,22
2016,MALE,HISPANIC,Joseph16472,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica16473,127,24
2018,MALE,OTHER ETHNICITY,Thomas16474,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16475,125,26
2020,MALE,BLACK NON HISPANIC,Charles16476,124,27
2021,FEMALE,HISPANIC,Karen16477,123,28
2022,MALE,WHITE NON HISPANIC,Christopher16478,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy16479,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James16480,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary16481,119,32
2018,MALE,HISPANIC,Robert16482,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia16483,117,34
2020,MALE,OTHER ETHNICITY,Michael16484,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer16485,115,36
2022,MALE,BLACK NON HISPANIC,William16486,114,37
2023,FEMALE,HISPANIC,Linda16487,113,38
2016,MALE,WHITE NON HISPANIC,David16488,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara16489,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard16490,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan16491,109,42
2020,MALE,HISPANIC,Joseph16492,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica16493,107,44
2022,MALE,OTHER ETHNICITY,Thomas16494,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah16495,105,46
2016,MALE,BLACK NON HISPANIC,Charles16496,104,47
2017,FEMALE,HISPANIC,Karen16497,103,48
2018,MALE,WHITE NON HISPANIC,Christopher16498,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy16499,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James16500,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary16501,199,2
